0, 13.8,  4.616, 4.42
1, 26.2,  4.943, 4.856
2, 31.0,  4.965, 4.837
3, 41.4,  5.118, 5.228
4, 53.1,  5.384, 5.556
5, 62.1,  5.679, 5.698
6, 75.2,  6.273, 6.416
7, 84.1,  6.601, 6.789
8, 94.5,  7.809, 8.235
9, 116.5,  26.18, 157.01
10, 129.6,  -26.397, -14.751
11, 144.8,  -9.416, -7.296
12, 158.6,  -7.5, -5.988
13, 166.2,  -6.91, -5.869
14, 173.7, -6.335, -5.586
15, 183.4,  -5.865, -5.113
16, 193.7,  -5.348, -4.972
17, 204.8,  -4.912,  -4.725
18, 193.7,  -4.988, -4.76
19, 183.4,  -5.519,  -5.076
20, 173.7,  -5.625, -5.145
21, 166.2,  -5.963, -5.538
22, 158.6,  -6.298, -5.75
23, 144.8, -7.595, -6.594
24, 129.6,  -17.496, -9.851
25, 116.5,   -42.543, -42.543
26, 94.5,   8.523, 9.35
27, 84.1,  7.14, 7.355
28, 75.2,  6.397, 6.624
29, 62.1,  5.877, 6.12
30, 53.1,  5.723, 5.723
31, 41.4, 5.239, 5.402
32, 31.0,  5.029, 5.153
33, 26.2,  4.855, 5.049

