num, kpa, d
0, 13.8, 4.616
1, 26.2, 4.943
2, 31.0, 4.965
3, 41.4, 5.118
4, 53.1, 5.384
5, 62.1, 5.679
6, 75.2, 6.273
7, 84.1, 6.601
8, 94.5, 7.809
9, 116.5, 26.18
10, 129.6, -26.397
11, 144.8, -9.416
12, 158.6, -7.5
13, 166.2, -6.91
14, 173.7, -6.335
15, 183.4, -5.865
16, 193.7, -5.348
17, 204.8, -4.912
18, 193.7, -4.988
19, 183.4, -5.519
20, 173.7, -5.625
21, 166.2, -5.963
22, 158.6, -6.298
23, 144.8, -7.595
24, 129.6, -17.496
25, 116.5, 8.603
26, 94.5, 8.523
27, 84.1, 7.14
28, 75.2, 6.397
29, 62.1, 5.877
30, 53.1, 5.723
31, 41.4, 5.239
32, 31.0, 5.029
33, 26.2, 4.855
